x,y,z
4.403333333,-7.45,5.686666667
4.33,-7.88,5.76
4.396666667,-7.646666667,5.57
4.143333333,-7.256666667,5.56
4.016666667,-6.983333333,4.856666667
3.663333333,-7.61,5.576666667
3.856666667,-8.3,5.436666667
3.973333333,-8.486666667,5.97
3.8,-8.33,6.133333333
3.68,-7.24,5.386666667
3.443333333,-7.186666667,5.67
3.766666667,-7.653333333,5.423333333
4.023333333,-8.566666667,6.216666667
4.103333333,-8.573333333,6.413333333
4.196666667,-7.49,5.8
3.643333333,-7.146666667,6.023333333
3.79,-7.29,5.306666667
3.84,-8.16,6.05
4.14,-8.64,5.696666667
4.19,-8.093333333,5.64
3.606666667,-7.753333333,5.763333333
3.543333333,-7.243333333,5.163333333
