,x,y,z,,,,,,,,,,,,,,,,,,119.0466667,278.59,235.61
61,1.706666667,-8.96,6.516666667,,,0.313333334,0.356666667,0.143333333,0.313333334,-0.356666667,-0.143333333,,,,,,0.313333334,-0.356666667,-0.143333333,,0.313333334,0.356666667,0.143333333
62,1.61,-8.076666667,6.18,,,0.096666667,0.883333333,0.336666667,-0.096666667,0.883333333,-0.336666667,,,,,,-0.096666667,0.883333333,-0.336666667,,0.096666667,0.883333333,0.336666667
63,1.303333333,-7.62,6.376666667,,,0.306666667,0.456666667,0.196666667,-0.306666667,0.456666667,0.196666667,,,,,,-0.306666667,0.456666667,0.196666667,,0.306666667,0.456666667,0.196666667
64,1.306666667,-7.623333333,5.966666667,,,0.003333334,0.003333333,0.41,0.003333334,-0.003333333,-0.41,,,,,,0.003333334,-0.003333333,-0.41,,0.003333334,0.003333333,0.41
65,1.456666667,-8.456666667,6.906666667,,,0.15,0.833333334,0.94,0.15,-0.833333334,0.94,,,,,,0.15,-0.833333334,0.94,,0.15,0.833333334,0.94
66,1.48,-8.78,6.786666667,,,0.023333333,0.323333333,0.12,0.023333333,-0.323333333,-0.12,,,,,,0.023333333,-0.323333333,-0.12,,0.023333333,0.323333333,0.12
67,1.403333333,-7.803333333,6.123333333,,,0.076666667,0.976666667,0.663333334,-0.076666667,0.976666667,-0.663333334,,,,,,-0.076666667,0.976666667,-0.663333334,,0.076666667,0.976666667,0.663333334
68,0.993333333,-7.3,6.82,,,0.41,0.503333333,0.696666667,-0.41,0.503333333,0.696666667,,,,,,-0.41,0.503333333,0.696666667,,0.41,0.503333333,0.696666667
69,1.366666667,-7.543333333,6.856666667,,,0.373333334,0.243333333,0.036666667,0.373333334,-0.243333333,0.036666667,,,,,,0.373333334,-0.243333333,0.036666667,,0.373333334,0.243333333,0.036666667
70,1.633333333,-8.136666667,7.403333333,,,0.266666666,0.593333334,0.546666666,0.266666666,-0.593333334,0.546666666,,,,,,0.266666666,-0.593333334,0.546666666,,0.266666666,0.593333334,0.546666666
71,1.966666667,-7.833333333,6.783333333,,,0.333333334,0.303333334,0.62,0.333333334,0.303333334,-0.62,,,,,,0.333333334,0.303333334,-0.62,,0.333333334,0.303333334,0.62
72,2.196666667,-6.87,6.233333333,,,0.23,0.963333333,0.55,0.23,0.963333333,-0.55,,,,,,0.23,0.963333333,-0.55,,0.23,0.963333333,0.55
73,2.086666667,-7.006666667,7.066666667,,,0.11,0.136666667,0.833333334,-0.11,-0.136666667,0.833333334,,,,,,-0.11,-0.136666667,0.833333334,,0.11,0.136666667,0.833333334
74,2.21,-7.84,6.883333333,,,0.123333333,0.833333333,0.183333334,0.123333333,-0.833333333,-0.183333334,,,,,,0.123333333,-0.833333333,-0.183333334,,0.123333333,0.833333333,0.183333334
75,2.266666667,-7.683333333,6.56,,,0.056666667,0.156666667,0.323333333,0.056666667,0.156666667,-0.323333333,,,,,,0.056666667,0.156666667,-0.323333333,,0.056666667,0.156666667,0.323333333
76,2.266666667,-7.3,6.256666667,,,0,0.383333333,0.303333333,0,0.383333333,-0.303333333,,,,,,0,0.383333333,-0.303333333,,0,0.383333333,0.303333333
77,2.31,-7.146666667,5.94,,,0.043333333,0.153333333,0.316666667,0.043333333,0.153333333,-0.316666667,,,,,,0.043333333,0.153333333,-0.316666667,,0.043333333,0.153333333,0.316666667
78,2.073333333,-8.063333333,6.673333333,,,0.236666667,0.916666666,0.733333333,-0.236666667,-0.916666666,0.733333333,,,,,,-0.236666667,-0.916666666,0.733333333,,0.236666667,0.916666666,0.733333333
79,2.216666667,-8.743333333,6.856666667,,,0.143333334,0.68,0.183333334,0.143333334,-0.68,0.183333334,,,,,,0.143333334,-0.68,0.183333334,,0.143333334,0.68,0.183333334
80,2.166666667,-8.06,6.163333333,,,0.05,0.683333333,0.693333334,-0.05,0.683333333,-0.693333334,,,,,,-0.05,0.683333333,-0.693333334,,0.05,0.683333333,0.693333334
81,2.076666667,-7.51,6.28,,,0.09,0.55,0.116666667,-0.09,0.55,0.116666667,,,,,,-0.09,0.55,0.116666667,,0.09,0.55,0.116666667
82,2.016666667,-7.756666667,5.663333333,,,0.06,0.246666667,0.616666667,-0.06,-0.246666667,-0.616666667,,,,,,-0.06,-0.246666667,-0.616666667,,0.06,0.246666667,0.616666667
83,1.886666667,-8.286666667,6.303333333,,,0.13,0.53,0.64,-0.13,-0.53,0.64,,,,,,-0.13,-0.53,0.64,,0.13,0.53,0.64
84,2.203333333,-8.653333333,6.376666667,,,0.316666666,0.366666666,0.073333334,0.316666666,-0.366666666,0.073333334,,,,,,0.316666666,-0.366666666,0.073333334,,0.316666666,0.366666666,0.073333334
85,2.203333333,-7.643333333,5.796666667,,,0,1.01,0.58,0,1.01,-0.58,,,,,,0,1.01,-0.58,,0,1.01,0.58
86,2.286666667,-7.463333333,6.243333333,,,0.083333334,0.18,0.446666666,0.083333334,0.18,0.446666666,,,,,,0.083333334,0.18,0.446666666,,0.083333334,0.18,0.446666666
87,2.32,-8.036666667,5.953333333,,,0.033333333,0.573333334,0.29,0.033333333,-0.573333334,-0.29,,,,,,0.033333333,-0.573333334,-0.29,,0.033333333,0.573333334,0.29
88,2.593333333,-8.466666667,6.423333333,,,0.273333333,0.43,0.47,0.273333333,-0.43,0.47,,,,,,0.273333333,-0.43,0.47,,0.273333333,0.43,0.47
89,2.776666667,-8.61,6.553333333,,,0.183333334,0.143333333,0.13,0.183333334,-0.143333333,0.13,,,,,,0.183333334,-0.143333333,0.13,,0.183333334,0.143333333,0.13
90,2.483333333,-7.413333333,5.823333333,,,0.293333334,1.196666667,0.73,-0.293333334,1.196666667,-0.73,,,,,,-0.293333334,1.196666667,-0.73,,0.293333334,1.196666667,0.73
